link,Production Budget,Running Time,Genre,Production Method,Production/Financing Companies,Production Countries,Languages,Release Date
https://www.the-numbers.com/movie/Wind-That-Shakes-the-Barley-The#tab=summary,"$8,300,000",128 minutes,Drama,Live Action,"Pathe,Sixteen Films,Matador Pictures,Regent Capital,UK Film Council,Irish Film Board,Filmstiftung NRW,Elemental Films,Bim Distribuzione,EMC Produktion,Tornasol Films,Diaphana,Cineart,TV3 Ireland,Film Coopi","United Kingdom,Ireland,France",English,"June 23, 2006"
https://www.the-numbers.com/movie/Kurtlar-vadisi-Irak#tab=summary,"$8,300,000",,Action,Live Action,,Turkey,,"November 24, 2006"
https://www.the-numbers.com/movie/Russian-Dolls#tab=summary,,125 minutes,Drama,Live Action,"IFC First Take,Ce Qui Me Meut Motion Pictures,StudioCanal,France 2 Cinema,Lunar Films,Canal Plus","France,United Kingdom","French,English,Russian,Spanish,Italian","May 10, 2006"
https://www.the-numbers.com/movie/Chinjeolhan-geumjassi#tab=summary,"$4,500,000",,Thriller/Suspense,Live Action,,Republic of Korea,"Korean,English,Japanese","May 04, 2006"
https://www.the-numbers.com/movie/Joyeux-Noel#tab=summary,"$22,000,000",,Drama,Live Action,"Nord-Quest Films,Senator Film Produktion,The Bureau,Artemis Prods,Media Pro Pictures,TF1 Film Productions,Les Productions de la Gueville,Canal Plus,Cine Cinema,Sat.1,Centre National de la Cinematographie,Eurimages,CRRAV Nord-Pas de Calais,Medienboard Berlin-Brandenburg,Filmforderungsanstalt,Le Tax Shelter du Gouvernement Fédéral de Belgique,Soficinema,Cofimage 16,Cofinova 1,Uniétoile 2,Sogécinéma 3,Groupe Un,Nippon Herald Films","United Kingdom,Romania,Germany,France,Belgium",,"March 03, 2006"
https://www.the-numbers.com/movie/Aquamarine#tab=summary,"$12,000,000",104 minutes,Comedy,Live Action,,United States,English,"March 03, 2006"
https://www.the-numbers.com/movie/Marine-The#tab=summary,"$15,000,000",91 minutes,Action,Live Action,,United States,,"October 13, 2006"
https://www.the-numbers.com/movie/Unaccompanied-Minors#tab=summary,"$25,000,000",87 minutes,Comedy,Live Action,,United States,English,"December 08, 2006"
https://www.the-numbers.com/movie/Flicka#tab=summary,"$15,000,000",95 minutes,Drama,Live Action,"Fox 2000 Pictures,Gil Netter Productions","United Kingdom,United States",English,"October 20, 2006"
https://www.the-numbers.com/movie/Waist-Deep#tab=summary,,97 minutes,Drama,Live Action,,United States,,"June 23, 2006"
https://www.the-numbers.com/movie/ATL#tab=summary,"$17,000,000",107 minutes,Comedy,Live Action,Warner Bros.,United States,English,"March 31, 2006"
https://www.the-numbers.com/movie/Hanbando#tab=summary,,147 minutes,,,,Republic of Korea,Korean,
https://www.the-numbers.com/movie/Alex-Rider-Operation-Stormbreaker#tab=summary,"$40,000,000",,Action,Live Action,"Isle of Man Film,UK Film Council,Entertainment Film Distributors,Samuelson Productions,VIP Medienfonds 4,Rising Star Productions","United Kingdom,United States,Germany",English,"October 13, 2006"
https://www.the-numbers.com/movie/Bobby#tab=summary,"$14,000,000",116 minutes,Drama,Live Action,,United States,"English,Spanish","November 17, 2006"
https://www.the-numbers.com/movie/Beerfest#tab=summary,"$17,500,000",110 minutes,Comedy,Live Action,"Village Roadshow Productions,Legendary Pictures",United States,English,"August 25, 2006"
https://www.the-numbers.com/movie/Bandidas#tab=summary,"$35,000,000",93 minutes,Western,Live Action,,"France,Mexico,United States","English,Spanish","September 22, 2006"
https://www.the-numbers.com/movie/Akeelah-and-the-Bee#tab=summary,"$8,000,000",112 minutes,Drama,Live Action,,United States,English,"April 28, 2006"
https://www.the-numbers.com/movie/See-No-Evil#tab=summary,"$8,000,000",,Horror,Live Action,,United States,English,"May 19, 2006"
https://www.the-numbers.com/movie/Keeping-Mum#tab=summary,,,Comedy,Live Action,"THINKFilm,Summit Entertainment,Isle of Man Film,Azure Films,Tusk Productions",United Kingdom,,"September 15, 2006"
https://www.the-numbers.com/movie/Friends-with-Money#tab=summary,"$6,500,000",88 minutes,Comedy,Live Action,,United States,English,"April 07, 2006"
https://www.the-numbers.com/movie/School-for-Scoundrels#tab=summary,"$20,000,000",101 minutes,Comedy,Live Action,"Picked Last,Media Talent Group",United States,English,"September 29, 2006"
https://www.the-numbers.com/movie/Tristan-and-Isolde#tab=summary,,125 minutes,Drama,Live Action,Twentieth Century Fox,United Kingdom,English,"January 13, 2006"
https://www.the-numbers.com/movie/Annapolis#tab=summary,,83 minutes,Drama,Live Action,Touchstone Pictures,United States,English,"January 27, 2006"
https://www.the-numbers.com/movie/Everyones-Hero#tab=summary,,87 minutes,Adventure,Digital Animation,,United States,English,"September 15, 2006"
https://www.the-numbers.com/movie/Hollywoodland#tab=summary,,126 minutes,Drama,Live Action,"Focus Features,Miramax Films,Back Lot Pictures",United States,English,"September 08, 2006"
https://www.the-numbers.com/movie/Transamerica#tab=summary,"$1,000,000",103 minutes,Drama,Live Action,,United States,,"December 02, 2005"
https://www.the-numbers.com/movie/American-Dreamz#tab=summary,"$17,000,000",107 minutes,Black Comedy,Live Action,,United States,English,"April 21, 2006"
https://www.the-numbers.com/movie/Black-Christmas#tab=summary,"$9,000,000",91 minutes,Horror,Live Action,,"Canada,United States",English,"December 25, 2006"
https://www.the-numbers.com/movie/Fanaa#tab=summary,,169 minutes,Drama,Live Action,,India,"Hindi,Urdu","May 26, 2006"
https://www.the-numbers.com/movie/Larry-the-Cable-Guy-Health-Inspector#tab=summary,"$17,000,000",,Comedy,Live Action,,United States,,"March 24, 2006"
https://www.the-numbers.com/movie/Fountain-The#tab=summary,"$35,000,000",96 minutes,Drama,Live Action,"Regency Enterprises,Warner Bros.,Protozoa Pictures,New Regency",United States,English,"November 22, 2006"
https://www.the-numbers.com/movie/Marrying-the-Mafia-III#tab=summary,,128 minutes,,,,Republic of Korea,,
https://www.the-numbers.com/movie/Science-des-reves-La#tab=summary,"$6,000,000",105 minutes,Comedy,Live Action,,France,"French,English,Spanish","September 22, 2006"
https://www.the-numbers.com/movie/Painted-Veil-The#tab=summary,"$19,400,000",,Drama,Live Action,,United States,,"December 20, 2006"
