link,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Production Budget,MPAA Rating,Production/Financing Companies,Franchise
https://www.the-numbers.com/movie/Shark-Night-3D#tab=summary,85 minutes,Horror,Live Action,Contemporary Fiction,United States,English,"September 02, 2011","$25,000,000","PG-13for violence and terror, disturbing images, sexual references, partial nudity, language and thematic material.(Rating bulletin 2177, 6/22/2011)","Rogue Pictures,Incentive Filmed Entertainment,Sierra Pictures,Next Films,Silverwood Films",
https://www.the-numbers.com/movie/13-Assassins-(2010-Japan)#tab=summary,125 minutes,Action,Live Action,Historical Fiction,"Japan,United Kingdom",Japanese,"April 29, 2011","$6,000,000","Rfor sequences of bloody violence, some disturbing images and brief nudity.(Rating bulletin 2162, 3/9/2011)","Sedic International Inc.,Recorded Picture Company,TV Asahi Corporation,Toho Co,Dentsu Inc.,Rakueisha Co.",
https://www.the-numbers.com/movie/Desert-Flower#tab=summary,124 minutes,Drama,Live Action,Dramatization,"United Kingdom,Germany,Australia","English,Somali","March 18, 2011",,"Rfor some violent content, a scene of sexuality and language.(Rating bulletin 2131, 7/28/2010)","Desert Flower Filmproductions,Dor Film,Majestic Filmproduktion,BSI Intl. Invest,Bac Films,Mr. Brown Entertainment,MTM West Film & Television,Bayerischer Rundfunk,Backup Films",
https://www.the-numbers.com/movie/Rockstar-(India)-(2011)#tab=summary,159 minutes,Drama,Live Action,Contemporary Fiction,India,Hindi,"November 11, 2011",,Not Rated,,
https://www.the-numbers.com/movie/Gaku-Minna-no-Yama#tab=summary,,Adventure,Live Action,Contemporary Fiction,Japan,Japanese,,,,,
https://www.the-numbers.com/movie/Glee-Live-3D#tab=summary,100 minutes,Concert/Performance,Live Action,Factual,United States,English,"August 10, 2011","$9,000,000","PGfor thematic elements, brief language and some sensuality.(Rating bulletin 2183, 8/3/2011)","20th Century Fox,20th Century Fox Television",
https://www.the-numbers.com/movie/Judy-Moody-and-the-Not-Bummer-Summer#tab=summary,91 minutes,Adventure,Live Action,Kids Fiction,United States,English,"June 10, 2011",,"PGfor some mild rude humor and language.(Rating bulletin 2167, 4/13/2011)",Smokewood Entertainment Group,
https://www.the-numbers.com/movie/Purinsesu-Toyotomi#tab=summary,,Thriller/Suspense,Live Action,Contemporary Fiction,Japan,Japanese,,,,,
https://www.the-numbers.com/movie/Conspirator-The#tab=summary,122 minutes,Drama,Live Action,Dramatization,United States,English,"April 15, 2011","$25,000,000","PG-13for some violent content.(Rating bulletin 2142, 10/13/2010)","The American Film Co,Wildwood Enterprises",
https://www.the-numbers.com/movie/Cai-Shen-Ke-Zhan#tab=summary,,Comedy,Live Action,,"Hong Kong,China",Cantonese,,,,,
